Genus,Species,Genus Specis,Common Name,Compound Name,Reference (Nature format)
Astregalus,haydenianus,Astregalus haydenianus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,lentiginosus,Astregalus lentiginosus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,leucophyllus,Astregalus leucophyllus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,leucopsis,Astregalus leucopsis,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,macrodon,Astregalus macrodon,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,maxicanus,Astregalus maxicanus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,miser,Astregalus miser,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,nitidus,Astregalus nitidus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,nuttaliarus,Astregalus nuttaliarus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,oxyphysus,Astregalus oxyphysus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,pachypus,Astregalus pachypus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,panduratus,Astregalus panduratus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,pattersonii,Astregalus pattersonii,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,pectinatus,Astregalus pectinatus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,preussii,Astregalus preussii,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,rubyi,Astregalus rubyi,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,sinicus,Astregalus sinicus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,tenellus,Astregalus tenellus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,vaseyi,Astregalus vaseyi,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Astregalus,vestitus,Astregalus vestitus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Bossiaea,disticha,Bossiaea disticha,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Bossiaea,foliosa ,Bossiaea foliosa ,,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Bossiaea,foliosa ,Bossiaea foliosa ,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Bossiaea,heterophylla,Bossiaea heterophylla,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Bossiaea,linophylla,Bossiaea linophylla,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Bossiaea,pulchella,Bossiaea pulchella,,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Bossiaea,pulchella,Bossiaea pulchella,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Burtonia,scabra,Burtonia scabra,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Calophaca,(1 species),Calophaca (1 species),,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Calophaca,wolgarica,Calophaca wolgarica,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Calopogonium,coeruleum,Calopogonium coeruleum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Calopogonium,galactoides,Calopogonium galactoides,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Calopogonium,mucunoides,Calopogonium mucunoides,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Calopogonium,sericeum,Calopogonium sericeum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Calopogonium,valutinum,Calopogonium valutinum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Camphylotropis,macrocarpa,Camphylotropis macrocarpa,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Camptosema,tomentosum,Camptosema tomentosum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,arborescens,Canagana arborescens,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,aurantiaca,Canagana aurantiaca,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,bravispina,Canagana bravispina,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,frutex,Canagana frutex,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,fruticosa,Canagana fruticosa,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,maximowicziana,Canagana maximowicziana,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,microphylla,Canagana microphylla,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,pekinensis,Canagana pekinensis,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,prestonae,Canagana prestonae,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,pygmaea,Canagana pygmaea,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canagana,spinosa,Canagana spinosa,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,(5 species),Canavalia (5 species),,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Canavalia,brasiliensis,Canavalia brasiliensis,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,cathartica,Canavalia cathartica,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Rosenthal, G. A. Investigations of Canavanine Biochemistry in the Jack Bean Plant, Canavalia ensiformia (L.) DC: I. Canavanine Utilization in the Developing Plant. Plant Physiol 46, 273-276 (1970). https://doi.org/10.1104/pp.46.2.273"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Fearon, W. R. & Bell, E. A. Canavanine: detection and occurrence in Colutea arborescens. Biochem J 59, 221-224 (1955). https://doi.org/10.1042/bj0590221"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Williams, S. E. & Hunt, G. E. Canavanine distribution in jack bean fruit during fruit growth. Planta 77, 192-202 (1967). https://doi.org/10.1007/bf00387456"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Rosenthal, G. A. Investigations of Canavanine Biochemistry in the Jack Bean Plant, Canavalia ensiformia (L.) DC: I. Canavanine Utilization in the Developing Plant. Plant Physiol 46, 273-276 (1970). https://doi.org/10.1104/pp.46.2.273"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Rosenthal, G. A. An Ontogenetic Study of Canavanine Formation in the Fruit of Jack Bean, Canavalia ensiformis (L.) DC. Plant Physiol 47, 209-211 (1971). https://doi.org/10.1104/pp.47.2.209"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Rosenthal, G. A. Investigations of Canavanine Biochemistry in the Jack Bean Plant, Canavalia ensiformis (L.) DC: II. Canavanine Biosynthesis in the Developing Plant. Plant Physiol 50, 328-331 (1972). https://doi.org/10.1104/pp.50.3.328"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Korpela, T. K., Lorenz, H. & Laakso, S. A specific arginase-based assay for L-canavanine in leguminous plants. Journal of Biochemical and Biophysical Methods 7, 67-70 (1982). https://doi.org/10.1016/0165-022x(82)90037-9"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Oropeza, C., Alpizar, L., Loyola-Vargas, V. M., Quiroz, J. & Scorer, K. N. Determination of L-canavanine and L-canaline in plant tissues by high-performance liquid chromatography. Journal of Chromatography 456, 405-409 (1988). https://doi.org/10.1016/0021-9673(86)80039-5"
Canavalia,ensiformis,Canavalia ensiformis,Jack Bean,Canavanine,"Acamovic, T. & D'Mello, J. P. F. HPLC analysis of canavanine and canaline in Canavalia ensiformis, and in excreta and serum of chicks. Journal of the Science of Food and Agriculture 50, 63-77 (1990). https://doi.org/10.1002/jsfa.2740500108"
Canavalia, gladiata,Canavalia  gladiata,Sword beans,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Canavalia, gladiata,Canavalia  gladiata,Sword beans,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia, gladiata,Canavalia  gladiata,Sword beans,Canavanine,"Ekanayake, S., Skog, K. & Asp, N. G. Canavanine content in sword beans ():: Analysis and effect of processing. Food and Chemical Toxicology 45, 797-803 (2007). https://doi.org/10.1016/j.fct.2006.10.030"
Canavalia,lineata,Canavalia lineata,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,lineata,Canavalia lineata,,Canavanine,"Hwang, I. D., Kim, S. G. & Kwon, Y. M. Canavanine metabolism in tissue cultures of Canavalia lineata. Plant Cell Tiss Org 45, 17-23 (1996). https://doi.org/Doi 10.1007/Bf00043423"
Canavalia,maritima,Canavalia maritima,,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Canavalia,rosea,Canavalia rosea,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,septentrionalis,Canavalia septentrionalis,,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Canavalia,septentrionalis,Canavalia septentrionalis,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Canavalia,virosa,Canavalia virosa,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Caragana,(6 specis),Caragana (6 specis),,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Caragana,arborescens,Caragana arborescens,,Canavanine,"Bell, E. A. Canavanine and related compounds in Leguminosae. Biochem J 70, 617-619 (1958). https://doi.org/10.1042/bj0700617"
Caragana,arborescens,Caragana arborescens,,Canavanine,"Bell, E. A. Canavanine in the Leguminosae. Biochem J 75, 618-620 (1960). https://doi.org/10.1042/bj0750618"
Caragana,arborescens,Caragana arborescens,,Canavanine,"Williams, S. E. & Hunt, G. E. Canavanine distribution in jack bean fruit during fruit growth. Planta 77, 192-202 (1967). https://doi.org/10.1007/bf00387456"
Caragana,arborescens,Caragana arborescens,,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Caragana,spinosa,Caragana spinosa,,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Carmichaelia,angusta,Carmichaelia angusta,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Carmichaelia,petriei,Carmichaelia petriei,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Carmichaelia,wiliamsii,Carmichaelia wiliamsii,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,arenarium,Centrolobium arenarium,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,brasilianum,Centrolobium brasilianum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,paraense,Centrolobium paraense,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,plumieri,Centrolobium plumieri,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,pubescans,Centrolobium pubescans,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,sagittatum,Centrolobium sagittatum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Centrolobium,virginianum,Centrolobium virginianum,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Chesneya,,Chesneya ,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Chordospartium,stevensonii,Chordospartium stevensonii,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Clianthus,(2 species),Clianthus (2 species),,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Clianthus,formosus,Clianthus formosus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Clianthus,puniceus,Clianthus puniceus,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Collaea,aschersoniana,Collaea aschersoniana,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Collaea,speciosa,Collaea speciosa,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutea,arborescens,Colutea arborescens,Common Bladder Senna,Canavanine,"Fearon, W. R. & Bell, E. A. Canavanine: detection and occurrence in Colutea arborescens. Biochem J 59, 221-224 (1955). https://doi.org/10.1042/bj0590221"
Colutea,arborescens,Colutea arborescens,Common Bladder Senna,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Colutea,arborescens,Colutea arborescens,,Canavanine,"Rosenthal, G. A. Interrelation of canavanine and urease in seeds of the lotoideae. Journal of Experimental Botany 25, 609-613 (1974). "
Colutea,arborescens,Colutea arborescens,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutea,cilicica,Colutea cilicica,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutea,istria,Colutea istria,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutea,media,Colutea media,,Canavanine,"Bell, E. A. Canavanine in the Leguminosae. Biochem J 75, 618-620 (1960). https://doi.org/10.1042/bj0750618"
Colutea,media,Colutea media,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutea,orientalis,Colutea orientalis,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutea,parsica,Colutea parsica,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
Colutia,(6 species),Colutia (6 species),,Canavanine,"Turner, B. L. & Harborne, J. B. Distribution of canavanine in the plant kingdom. Phytochemistry 6, 863-866 (1967). https://doi.org/10.1016/s0031-9422(00)86033-1"
Corallospartium,crassicaule,Corallospartium crassicaule,,Canavanine,"Bell, E. A., Lackey, J. A. & Polhill, R. M. Systematic significance of canavanine in the Papilionoideae (Faboideae). Biochem. Syst. Ecol. 6, 201-212 (1978). https://doi.org/10.1016/0305-1978(78)90008-x"
